"cnty_fips","display_name","Value","theme_range"
48273,"""Kleberg, (TX)""",250.4,"216.7 - 502.5 (641)"
48281,"""Lampasas, (TX)""",150.6,"147.4 - 167.6 (641)"
48283,"""La Salle, (TX)""",180.4,"167.7 - 186.9 (647)"
48285,"""Lavaca, (TX)""",187.7,"187.0 - 216.6 (634)"
48287,"""Lee, (TX)""",167,"147.4 - 167.6 (641)"
48289,"""Leon, (TX)""",170.9,"167.7 - 186.9 (647)"
48291,"""Liberty, (TX)""",266.4,"216.7 - 502.5 (641)"
48293,"""Limestone, (TX)""",200.5,"187.0 - 216.6 (634)"
48297,"""Live Oak, (TX)""",173.9,"167.7 - 186.9 (647)"
48299,"""Llano, (TX)""",143.9,"28.1 - 147.3 (644)"
48301,"""Loving, (TX)""",220.3,"216.7 - 502.5 (641)"
48307,"""McCulloch, (TX)""",196.1,"187.0 - 216.6 (634)"
48309,"""McLennan, (TX)""",177,"167.7 - 186.9 (647)"
48311,"""McMullen, (TX)""",156.5,"147.4 - 167.6 (641)"
48313,"""Madison, (TX)""",196.6,"187.0 - 216.6 (634)"
48319,"""Mason, (TX)""",147.7,"147.4 - 167.6 (641)"
48321,"""Matagorda, (TX)""",208.5,"187.0 - 216.6 (634)"
48323,"""Maverick, (TX)""",163.7,"147.4 - 167.6 (641)"
48325,"""Medina, (TX)""",182.1,"167.7 - 186.9 (647)"
48327,"""Menard, (TX)""",175.3,"167.7 - 186.9 (647)"
48329,"""Midland, (TX)""",178.9,"167.7 - 186.9 (647)"
48331,"""Milam, (TX)""",175.8,"167.7 - 186.9 (647)"
48333,"""Mills, (TX)""",171.6,"167.7 - 186.9 (647)"
48339,"""Montgomery, (TX)""",166.3,"147.4 - 167.6 (641)"
48347,"""Nacogdoches, (TX)""",174.1,"167.7 - 186.9 (647)"
48349,"""Navarro, (TX)""",209.3,"187.0 - 216.6 (634)"
48351,"""Newton, (TX)""",283,"216.7 - 502.5 (641)"
48355,"""Nueces, (TX)""",158.6,"147.4 - 167.6 (641)"
48361,"""Orange, (TX)""",279.6,"216.7 - 502.5 (641)"
48371,"""Pecos, (TX)""",152.5,"147.4 - 167.6 (641)"
