"cnty_fips","display_name","Value","theme_range"
48217,"""Hill, (TX)""",49.6,"46.2 - 112.3 (634)"
48225,"""Houston, (TX)""",41.7,"40.8 - 46.1 (652)"
48229,"""Hudspeth, (TX)""",31.5,"0.0 - 32.6 (652)"
48235,"""Irion, (TX)""",42,"40.8 - 46.1 (652)"
48239,"""Jackson, (TX)""",39.9,"37.2 - 40.7 (628)"
48241,"""Jasper, (TX)""",57.6,"46.2 - 112.3 (634)"
48243,"""Jeff Davis, (TX)""",27.6,"0.0 - 32.6 (652)"
48245,"""Jefferson, (TX)""",46.9,"46.2 - 112.3 (634)"
48247,"""Jim Hogg, (TX)""",37.3,"37.2 - 40.7 (628)"
48249,"""Jim Wells, (TX)""",43.4,"40.8 - 46.1 (652)"
48255,"""Karnes, (TX)""",41.4,"40.8 - 46.1 (652)"
48259,"""Kendall, (TX)""",37.7,"37.2 - 40.7 (628)"
48261,"""Kenedy, (TX)""",25.6,"0.0 - 32.6 (652)"
48265,"""Kerr, (TX)""",30.5,"0.0 - 32.6 (652)"
48267,"""Kimble, (TX)""",33.7,"32.7 - 37.1 (650)"
48271,"""Kinney, (TX)""",42.4,"40.8 - 46.1 (652)"
48273,"""Kleberg, (TX)""",42.6,"40.8 - 46.1 (652)"
48281,"""Lampasas, (TX)""",38.2,"37.2 - 40.7 (628)"
48283,"""La Salle, (TX)""",39.7,"37.2 - 40.7 (628)"
48285,"""Lavaca, (TX)""",37.5,"37.2 - 40.7 (628)"
48287,"""Lee, (TX)""",37.7,"37.2 - 40.7 (628)"
48289,"""Leon, (TX)""",40.8,"40.8 - 46.1 (652)"
48291,"""Liberty, (TX)""",43.7,"40.8 - 46.1 (652)"
48293,"""Limestone, (TX)""",48.1,"46.2 - 112.3 (634)"
48297,"""Live Oak, (TX)""",46.1,"40.8 - 46.1 (652)"
48299,"""Llano, (TX)""",33.4,"32.7 - 37.1 (650)"
48301,"""Loving, (TX)""",37.3,"37.2 - 40.7 (628)"
48307,"""McCulloch, (TX)""",46.2,"46.2 - 112.3 (634)"
48309,"""McLennan, (TX)""",47.9,"46.2 - 112.3 (634)"
48311,"""McMullen, (TX)""",39.7,"37.2 - 40.7 (628)"
48313,"""Madison, (TX)""",40.4,"37.2 - 40.7 (628)"
48319,"""Mason, (TX)""",31.6,"0.0 - 32.6 (652)"
48321,"""Matagorda, (TX)""",43.5,"40.8 - 46.1 (652)"
48323,"""Maverick, (TX)""",39.5,"37.2 - 40.7 (628)"
48325,"""Medina, (TX)""",42.6,"40.8 - 46.1 (652)"
48327,"""Menard, (TX)""",41.9,"40.8 - 46.1 (652)"
48329,"""Midland, (TX)""",36.5,"32.7 - 37.1 (650)"
48331,"""Milam, (TX)""",37.4,"37.2 - 40.7 (628)"
48333,"""Mills, (TX)""",42.5,"40.8 - 46.1 (652)"
48339,"""Montgomery, (TX)""",38.3,"37.2 - 40.7 (628)"
48347,"""Nacogdoches, (TX)""",45.7,"40.8 - 46.1 (652)"
48349,"""Navarro, (TX)""",49.3,"46.2 - 112.3 (634)"
48351,"""Newton, (TX)""",54.3,"46.2 - 112.3 (634)"
48355,"""Nueces, (TX)""",43.5,"40.8 - 46.1 (652)"
48361,"""Orange, (TX)""",51.6,"46.2 - 112.3 (634)"
48371,"""Pecos, (TX)""",28.5,"0.0 - 32.6 (652)"
